0 -19.12153032862177 0.0 883.6713239891993, 1 -113.69649634089745 -36.004288118689665 884.1259301636421, 2 -150.97982126552967 -52.098899230404925 435.697532254965, 3 -249.19762468271603 9.940150830664209 -15.159581656711225, 6 77.1745722780525 36.00396786941065 883.2167218583666, 7 77.6964862866096 63.298541033143465 433.9531917741735, 8 118.92668951876935 146.34489586348644 -8.187641112188771, 12 -24.881004278473426 42.9985358375451 1154.202431157857, 13 1.904796071095016 -15.389901625599208 1381.9491120264365, 14 24.847088490079027 -107.16144550344683 1433.5123119477146, 15 19.210645443571178 -132.75255771867626 1564.3142906656167, 17 154.4361212630752 38.27828131281612 1342.0899037368326, 18 200.50893170169198 194.41181235507634 1106.2987669348101, 19 79.27294666881177 145.74279916045867 947.2636038521089, 25 -171.07569067042638 -23.663431155522318 1348.384823627162, 26 -232.65213035673 55.67487466364309 1113.407754520594, 27 -115.66753497923285 32.71540828151915 946.906820310067, 
0 -19.12153032862177 0.0 845.6486672085936, 1 -113.60479559252553 -39.201408390827375 846.514872476269, 2 -151.38129548993354 -41.60093652804443 434.22869185184425, 3 -249.93739435479176 21.844084964066155 -18.121109538745145, 6 77.23570505628297 39.20103301952403 844.7824702352273, 7 77.9017543579649 74.03345962112189 432.4883182313574, 8 119.2377977655219 157.19159559256522 -10.796156691613191, 12 -27.63652746273552 45.99147464043323 1155.7302448328967, 13 1.9090752261598654 -6.438410837345074 1386.5935546909004, 14 26.957926342093927 -97.40682394293525 1440.5052842078123, 15 21.40141557706393 -118.30089009521605 1572.5911782942312, 17 154.89201034272944 50.199112747835564 1343.1507246600015, 18 201.11255749371009 207.03895634709332 1106.67361286416, 19 79.45266225677065 155.141397749081 947.1499506898012, 25 -171.19025525771167 -21.000590186523112 1348.5188860227422, 26 -231.9265254602877 43.025871437575866 1112.705441819944, 27 -115.11441048430392 13.430881523010008 946.7026256694628, 
0 -19.12153032862177 0.0 845.4945309824751, 1 -113.67672539587578 -36.693596442235105 846.3053229369718, 2 -151.04621784252208 -50.36272603057958 435.18085818443484, 3 -248.72217778721358 2.289541807842795 -13.645788836746533, 6 77.18775257221691 36.6932586289837 844.6837464923943, 7 78.02759673177316 80.61464698664778 431.52398623310523, 8 99.81581237941441 176.05957949952943 -2.056336157257988, 12 -43.40347663729162 46.91335259741813 1156.033851405107, 13 -19.09413796788525 -5.730160769720271 1386.5196790243926, 14 0.2975729443174835 -97.84156933594724 1440.4747654047862, 15 -8.498733003790178 -120.06042934196435 1572.2983380187077, 17 154.69349949731293 45.008345011025 1342.4722608747938, 18 200.481086268656 193.82931853669604 1105.9774066380564, 19 79.22342136567137 143.15277094152162 946.9579710285352, 25 -171.48609066992216 -14.124445695614853 1349.0810252104268, 26 -232.85435895718174 59.20019571930264 1113.2660903665687, 27 -115.58919090441763 29.983964599316913 946.6007410928406, 
0 -28.68229549293241 0.0 845.3403947563567, 1 -132.7037292195556 -34.2764879195434 846.0977776059042, 2 -170.30187546864514 -41.64932776252928 433.92652949235884, 3 -249.7680407721418 19.118947709568715 -17.78421705707831, 6 77.14153511069324 34.276220832877385 844.5830178084307, 7 77.8881758816228 73.3233451005397 406.55166924503453, 8 99.92674932087938 180.70092104734172 -3.25068708505853, 12 -41.76812635805668 42.093790035049295 1155.0626071001684, 13 -18.111668233292285 -11.843486973613778 1385.6727663275974, 14 2.529614229700698 -104.18917908465747 1441.3556719370567, 15 -4.909192496617919 -127.19475246515718 1574.1098685181337, 17 154.49655006441697 39.858405923745124 1341.7979212552655, 18 180.82384203891687 202.91423521692542 1106.1960785733277, 19 59.63268442773373 158.15285373011986 946.8511842336177, 25 -171.42517018670347 -15.540429137008019 1348.7793885752108, 26 -234.03445805446432 79.77210387730497 1114.0210793961014, 27 -116.79613809892716 72.06383211922751 946.5794346530744, 
0 -28.68229549293241 0.0 845.2088665151975, 1 -132.7224495434264 -33.71704901782757 845.953887846537, 2 -170.2765126277027 -42.23883987575797 421.37632197747644, 3 -250.04243345840064 23.534311825195772 -18.961064425968857, 6 77.13083742028444 33.71676297438279 844.463851504354, 7 77.94798098545712 76.45097677052107 406.0153595843773, 8 100.13472290577327 189.40204826131006 -5.332306771964568, 12 -41.31498515361331 44.85746341975279 1155.7308089090375, 13 -18.12043019966124 -9.91411786243252 1385.7598787214865, 14 3.3236988349667307 -103.77300484984 1441.126593297758, 15 -2.387001671415007 -127.14371846879857 1573.49203830299, 17 154.53264082913003 40.80212653848696 1341.7617197078594, 18 180.93991788937416 205.61220269041183 1106.1752639830124, 19 59.646305421502234 159.10263780663237 946.7226540916304, 25 -190.6582414676714 -11.653080249795565 1349.052798368217, 26 -234.69297955142378 91.25168536899074 1114.3968632320837, 27 -136.68557370539781 84.71711076694658 946.4878478945884, 
0 -47.803825821554426 0.0 845.0773382740385, 1 -151.57766749540986 -36.466096321704356 845.8831033223374, 2 -170.5085719074921 -36.84505308612047 420.5467241093422, 3 -251.06745084502026 40.02828274140654 -10.244672791668563, 6 57.88755228449535 36.465791153945936 844.2715799688116, 7 58.31444733086678 66.23293768352717 407.2062608370163, 8 99.60527516908104 167.2511962073939 -0.499399251628347, 12 -43.92789442004968 40.98911833977376 1154.0800067931586, 13 -16.210851574767663 -10.446912940908462 1385.5679728918021, 14 8.585533981608346 -101.51058776350988 1440.1496565401167, 15 3.4131022623118206 -122.25896491509178 1572.9719453406278, 17 135.37204973442869 45.46370827411786 1342.1010651210165, 18 181.1156345971859 209.69641107963758 1106.21133510175, 19 59.655814916527 159.7657294358998 946.5932189730177, 25 -190.29557717632395 -19.23959210558759 1348.1309970421898, 26 -252.53557892433759 63.65252771289089 1113.0456576004199, 27 -135.52683052732516 50.08918363354361 946.2470127464916, 
0 -47.803825821554426 0.0 845.056567040896, 1 -151.8139890410032 -30.28663417793466 845.7257889679129, 2 -189.97327910304887 -25.98168999704515 431.66443606486916, 3 -251.39452219369917 45.291320601112005 -11.494833028143944, 6 57.79893316791544 30.286431025552968 844.3873496027908, 7 58.19596843758575 57.97147246640557 421.0641359300446, 8 119.30525507126502 159.54347519577735 1.2072793549262997, 12 -55.88835170687665 40.896534800154356 1142.5592660246298, 13 -37.11789562746015 -18.139146112057205 1370.849393974532, 14 -18.30247666138043 -113.34935289911054 1419.3230166151675, 15 -27.133473441270766 -140.3231511724851 1549.4267613667348, 17 134.94329089309826 32.650662038897835 1340.7860280687025, 18 160.57592248384935 198.82508680525805 1105.7444487794703, 19 59.621387809875074 157.3651470515211 946.5648700343348, 25 -190.27414134723583 -19.688004522789413 1335.4992175859938, 26 -253.04439698202762 71.84012565487183 1113.3867172686698, 27 -135.57955943712076 51.664936467112426 946.2312155525883, 
0 -57.36459098586531 0.0 838.7225731584938, 1 -170.64893740108513 -33.582517988406806 833.2574061619686, 2 -189.93946674504218 -26.689004891314895 431.73297355993986, 3 -270.9689261884311 48.8230735805879 -12.340583748646168, 6 57.84619915198583 33.58226096231933 844.2937527909311, 7 58.207888455594684 58.80264847962802 420.938416712258, 8 119.29537150988573 159.1988876650568 1.2637368738113537, 12 -76.51954024511693 45.26063770890751 1142.870086476812, 13 -57.20367352939 -11.22068186730175 1372.2181678496672, 14 -34.561262873105264 -105.56538971631701 1421.0505888022028, 15 -41.44058614936598 -130.21036586433928 1550.5786884896977, 17 115.9069440594608 41.06233714873346 1341.6149332807063, 18 160.6962044883398 201.97028497777086 1105.852743732532, 19 39.711296262066426 153.56883885231596 946.5321153317389, 25 -209.40622863144986 -17.697423078892854 1335.6795180945603, 26 -271.9734681333189 63.83295926029281 1100.1841477252517, 27 -154.2414048301956 33.186731904040506 946.1521158096631, 
0 -86.04688647879772 0.0 838.5560235403909, 1 -188.84246976729844 -49.636895753412304 833.4962759891689, 2 -208.4809455014885 -35.29363985290192 432.652883468399, 3 -290.19844486370084 47.07419509302508 -12.098614173445071, 6 19.35881193501545 49.636530615650685 843.7724635470537, 7 58.183773826144126 57.12114921074962 420.98418067953503, 8 119.15565679533984 154.32777424317942 2.188898292873432, 12 -97.75822513606153 32.69855393433292 1141.026796456202, 13 -75.08299642963902 -23.67526033445209 1370.681516150928, 14 -37.69023054830613 -113.0168487081946 1421.0094212519075, 15 -40.61753595345089 -135.57779466278922 1552.1735343119603, 17 77.42476008923141 49.088057211591945 1342.2590741854426, 18 121.42419869209841 233.4198363592513 1120.3400172423821, 19 0.0 186.18893760077668 959.6827060942264, 25 -226.67794771209321 -48.46920693730148 1319.9312156604437, 26 -287.5492874685159 10.12935020308003 1097.8138196403436, 27 -171.39035956591897 -16.3495373385718 945.8291994430891, 
0 -86.04688647879772 0.0 838.3894739222881, 1 -188.41378133243012 -58.604555297411515 833.5561856964422, 2 -208.6019575526371 -32.99233961805733 432.1957614349888, 3 -290.7859130181143 55.26695852868781 -14.178905159783994, 6 19.401679855013192 58.6039969765571 843.4077662878743, 7 58.26273532475115 62.62708918173114 432.94656124028575, 8 119.10248372486551 152.47391040276793 2.437835533871066, 12 -136.34299502713108 40.730329131744135 1140.1762254171208, 13 -117.30514499387915 -9.94125715401674 1372.0258154453445, 14 -68.71271275735927 -98.64681754678746 1419.2492590990742, 15 -64.56263016153983 -119.53722843613559 1549.4624774566191, 17 38.89591717564543 68.28496539575295 1344.0316342560436, 18 101.29848699531819 238.09120941293426 1133.757914257886, 19 0.0 175.42338092988953 985.8085685786518, 25 -264.27977421223846 -51.1263680209282 1319.504649674535, 26 -302.5565241938505 -44.29510878407086 1082.927287939251, 27 -167.85441147095307 -98.5360809699247 945.4032188506274, 
